year notice was documented,notice_date,company,business_type,dislocation
2019,1/28/2019,ABM Aviation Inc.,Cabin cleaning services at Delta Airlines at JFK International Airport. Terminals 2 and 4,Contract Loss/End
2019,1/29/2019,Concentrix CVG Corporation,Cabin cleaning services at Delta Airlines at JFK International Airport. Terminals 2 and 4,Contract Loss/End
2019,1/17/2019,Centerplate at the New York Racing Association (NYRA),Hospitality services,Contract Loss/End
2019,1/25/2019,SAE Sun and Earth Energy Inc.,Hospitality services,Contract Loss/End
2019,1/25/2019,"Monolith Solar Associates, LLC",Hospitality services,Contract Loss/End
2019,1/25/2019,"Monticello Raceway Management, Inc. (Casino)",Hospitality services,Contract Loss/End
2019,1/7/2019,"Independence Care System, Inc. (ICS)",Managed Long-Term Care (MLTC),Contract Loss/End
2019,1/6/2019,Morrison Healthcare Food and Nutrition Services at Erie Medical Center,National food and nutrition services company,Contract Loss/End
2018,12/17/2018,Crothall Healthcare (Environmental Services at Crystal Run  Healthcare),Environmental Services,Contract Loss/End
2018,9/28/2018,The Research Foundation for the State University of New York,Education research,Contract Loss/End
2018,11/29/2018,Mic Network Inc.,Digital Publisher,Contract Loss/End
2018,11/29/2018,Sterling National Bank (Huntington),Financial Institution,Contract Loss/End
2018,9/28/2018,The Research Foundation for  the State University of New York,Education research,Contract Loss/End
2018,10/24/2018,"Fedcap Rehabilitation Services, Inc.",Provides assistance to clients with medical and/or mental health barriers to employment by providing customized assistance and services to help them achieve their highest levels of self-sufficiency.,Contract Loss/End
2018,10/11/2018,"Greenbriar Associates, LLC dba Residence Inn by Marriott",Hotel,Contract Loss/End
2018,10/2/2018,"Compass Group USA, Inc. d/b/a Chartwells (at Molloy College)",Food Services,Contract Loss/End
2018,9/28/2018,The Research Foundation for the State University of New York,Education research,Contract Loss/End
2018,9/10/2018,"FJC Security Services, Inc.",Security services for various hotel-based homeless shelters in NYC,Contract Loss/End
2018,8/15/2018,"Floyd Bus Co., Inc.",Transportation,Contract Loss/End
2018,8/10/2018,"Compass Group USA, Inc. dba Chartwells (@ College of Mount St. Vincent)",Food Services provider,Contract Loss/End
2018,8/3/2018,"Catholic Charities  Neighborhood Services, Inc. (Hillcrest Senior Center)",Social services organization,Contract Loss/End
2018,8/2/2018,CSRA,Provide information technology services to U.S. government clients,Contract Loss/End
2018,7/23/2018,"Compass Group, USA,  Inc.(Restaurant Associates @ Rockefeller University)",Food Services provider,Contract Loss/End
2018,7/12/2018,"Compass Group, USA, Inc.",Food services provider,Contract Loss/End
2018,6/1/2018,Cardinal McCloskey Community Services - Head Start Programs,Pre-School,Contract Loss/End
2018,6/20/2018,DAL Global Services (for Copa Airlines at JFK Int'l Airport),Baggage Handling,Contract Loss/End
2018,6/14/2018,"Metro Athletic Medicine and Fitness, P.C.",Healthcare – Physical Therapy,Contract Loss/End
2018,6/12/2018,"Restaurant Associates - Compass Group, USA, Inc. (at Federal Reserve Bank of New York)",Food Services Provider,Contract Loss/End
2018,6/1/2018,Cardinal McCloskey Community Services - Head Start Programs,Pre-School,Contract Loss/End
2018,6/4/2018,"Van Trans, LLC & Attendant, LLC",Transportation,Contract Loss/End
2018,6/4/2018,"Van Trans, LLC & Attendant, LLC",Transportation,Contract Loss/End
2018,5/1/2018,"Triangle Aviation Services, Inc.",Perform ramp and cabin cleaning services,Contract Loss/End
2018,4/6/2018,1 BB Food and Drink Corp.,Provide food services,Contract Loss/End
2018,4/6/2018,1 BB Food and Drink Corp.,Provide food services,Contract Loss/End
2018,4/6/2018,"Golden Touch Transportation of NY, Inc.",Transportation services,Contract Loss/End
2018,3/30/2018,"Baumann & Sons Buses, Inc., ACME Bus Corp., and Brookset Bus Corp.",Bus services,Contract Loss/End
2018,4/3/2018,"First Student, Inc.",School bus transportation services.,Contract Loss/End
2018,3/30/2018,"CAMBA, Inc.",Learning to Work programs.,Contract Loss/End
2018,3/30/2018,"Baumann & Sons Buses, Inc., ACME Bus Corp., and Brookset Bus Corp. (Copiague & Coram)",Bus services,Contract Loss/End
2018,3/26/2018,"Sodexo, Inc. at University Hospital of Brooklyn, SUNY Downstate Medical Center",Food Services Operations,Contract Loss/End
2018,3/16/2018,Freeman Bus Corporation,Transportation Services,Contract Loss/End
2018,3/14/2018,66 W 12th Street,Dining Services,Contract Loss/End
2018,3/5/2018,"Physical and Occupational  Rehabilitation Therapy and Speech Pathology Services, PLLC",Therapy and Speech Pathology Services,Contract Loss/End
2018,2/2/2018,Plant Engineering Services,Construction project management,Contract Loss/End
2018,2/2/2018,TRS Staffing Solutions,Construction project management,Contract Loss/End
2018,1/18/2018,Restaurant Associates (ABC Disney),Food Services,Contract Loss/End
2018,9/11/2017,"DynaServ Industries, Inc.",Specialized Services,Contract Loss/End
2018,12/28/2017,ASM Research,Information solutions integrator and provider of innovative technology solutions,Contract Loss/End
2017,9/11/2017,"DynaServ Industries, Inc.",Specialized Services,Contract Loss/End
2017,9/11/2017,"DynaServ Industries, Inc.",Specialized Services,Contract Loss/End
2017,11/24/2017,"Baumann Bus Company, Inc.",Transportation services,Contract Loss/End
2017,11/22/2017,"Leake & Watts Services, Inc.",Intellectual/Developmental disablities services,Contract Loss/End
2017,11/18/2017,"Baumann Bus Company, Inc.",Transportation services,Contract Loss/End
2017,9/11/2017,"DynaServ Industries, Inc.",Specialized Services,Contract Loss/End
2017,11/2/2017,Restaurant Associates (Barclays Executive Dining Room),Food services,Contract Loss/End
2017,9/11/2017,"DynaServ Industries, Inc.",Specialized Services,Contract Loss/End
2017,10/12/2017,"North Shore-LIJ Health Plan, Inc.",Provide health services,Contract Loss/End
2017,9/21/2017,Restaurant Associates (@Barclays),Food services,Contract Loss/End
2017,9/5/2017,"Sodexo, Inc.",Facilites Management,Contract Loss/End
2017,9/11/2017,"DynaServ Industries, Inc.",Specialized Services,Contract Loss/End
2017,9/5/2017,"Sodexo, Inc.",Facilites Management,Contract Loss/End
2017,8/16/2017,"Lutech Resources, LLC",Provides recruitment and integrated resource management.,Contract Loss/End
2017,7/18/2017,Command Security Corporation,Security guard services,Contract Loss/End
2017,7/14/2017,DAL Global Services (for Virgin America at JFK Int'l Airport),Baggage Handling,Contract Loss/End
2017,7/3/2017,CEVA Logistics,Provide logistic services,Contract Loss/End
2017,6/29/2017,Restaurant Associates (@Ogilvy & Mather),Food Services,Contract Loss/End
2017,6/1/2017,Command Security Corporation (for Niagara Frontier Transportation Authority),Security Services,Contract Loss/End
2017,5/15/2017,"Aircraft Service International, Inc. d/b/a ASIG",Aviation ground service provider,Contract Loss/End
2017,5/9/2017,"Sodexo, Inc. (Dutchess Community College)",Food Services Operations,Contract Loss/End
2017,5/5/2017,DAL Global Services (DGS),Aviation services provider.,Contract Loss/End
2017,3/8/2017,"Sodexo, Inc. (Stony Brook University)",Food Services Operations,Contract Loss/End
2017,5/1/2017,IPRO Regional Office,Health Care Service Contracts,Contract Loss/End
2017,4/21/2017,"Montauk Student Transport, LLC",Student Bus Transportation,Contract Loss/End
2017,4/1/2017,"First Student, Inc.",School bus transportation services.,Contract Loss/End
2017,3/29/2017,Chartwells Dining Services c/o Elmira College,Food Services,Contract Loss/End
2017,3/29/2017,Chartwells Dining Services c/o Elmira College,Food Services,Contract Loss/End
2017,3/28/2017,"Railex, LLC",Unload Train Cars,Contract Loss/End
2017,3/24/2017,"Durham School Services, L.P.",School Transportation Services,Contract Loss/End
2017,3/15/2017,"East End Bus Lines, Inc.",Student Transportation for Longwood and South Country School Districts,Contract Loss/End
2017,3/8/2017,"Sodexo, Inc. (Stony Brook University)",Food Services Operations,Contract Loss/End
2017,10/10/2016,"Data Listing Services (Jamestown), LLC dba The Connection",Call Center,Contract Loss/End
2017,2/28/2017,"ComplexCare Solutions Medical Practice, PLLC",Provide assessment and care management services for health plans.,Contract Loss/End
2017,2/24/2017,"Sodexo, Inc. (Houghton College)",Food Service Operations,Contract Loss/End
2017,1/30/2017,"Penske Vehicle Services, Inc.",Fleet/transportation services,Contract Loss/End
