year notice was documented,notice_date,company,business_type,dislocation,classification
2018,5/31/2018,"First Care of New York, Inc.",Home health care service,Acquisition/Sale,Plant Closing
2018,5/31/2018,St. John Villa Academy,School,Economic,Plant Closing
2018,5/29/2018,Sterling National Bank-Forest Hills Financial Center,Financial Institution,Acquisition/Sale,Plant Closing
2018,5/24/2018,"Premier Aviation Overhaul Center, Ltd.",Premier Aviation performs ground aircraft maintenance and refinishing services to the North American market.,Economic,Plant Closing
2018,2/21/2018,"Geritrex, LLC",Manufacturer and distributor of Over the Counter generic creams and lotions,End of Lease,Plant Closing
2018,5/20/2018,"Pfizer, Inc.",Pharmaceuticals (production),Economic,Plant Closing
2018,5/15/2018,"Center for Nursing & Rehabilitation, Inc. (CNR)",Rehabilitation center,Acquisition/Sale,Plant Closing
2018,5/11/2018,Newsday LLC,Newspaper print and distribution,Economic,Plant Unit Closing
2018,5/11/2018,"Conduent Education Services, LLC",Educational Services,Restructuring,Plant Closing
2018,2/28/2018,VWR (Part of Avantor),Manufacturing and supply chain solutions for the Life Sciences and Advanced Technology Industries,Relocation,Plant Closing
2018,5/7/2018,Sterling National Bank,Financial Institution,Acquisition/Sale,Plant Closing
2018,5/7/2018,Aptos Inc.,Software developers,Economic,Plant Closing
2018,5/7/2018,"Forty Six O Seven Co., Inc. (IHOP #4607)",Restaurant,End of Lease,Plant Closing
2018,5/9/2018,"Pfizer, Inc.",Pharmaceuticals (production),Economic,Plant Closing
2018,3/16/2018,Gannett Publishing Services,Commercial Printing,Economic,Plant Closing
2018,3/9/2018,Newsday LLC,Newspaper print and distribution,Economic,Plant Unit Closing
